x,y,z,r,g,b
-0.065000,0.834586,0.560784,167,139,102
-0.065000,0.842105,0.466667,154,111,72
-0.065000,0.849624,0.764706,225,189,147
-0.065000,0.857143,0.678431,199,169,127
-0.065000,0.864662,0.678431,196,169,134
-0.065000,0.872180,0.525490,156,128,103
-0.065000,0.879699,0.364706,112,87,70
-0.065000,0.887218,0.313725,97,76,59
-0.060000,0.195489,0.713725,165,188,196
-0.060000,0.203008,0.713725,167,187,196
-0.060000,0.210526,0.447059,98,119,127
-0.060000,0.804511,0.729412,214,181,140
-0.060000,0.812030,0.647059,188,162,122
-0.060000,0.819549,0.682353,191,172,136
-0.060000,0.827068,0.388235,114,98,66
-0.060000,0.834586,0.592157,167,149,122
-0.060000,0.842105,0.529412,151,133,101
-0.060000,0.849624,0.796078,226,199,164
-0.060000,0.857143,0.733333,217,181,143
-0.060000,0.864662,0.815686,236,202,162
-0.060000,0.872180,0.850980,240,213,175
-0.060000,0.879699,0.713725,210,175,145
-0.060000,0.887218,0.407843,128,98,70
-0.052500,0.195489,0.727451,169,191,199
-0.052500,0.203008,0.531372,120,140,149
-0.052500,0.804511,0.433334,124,109,77
-0.052500,0.812030,0.400000,111,103,71
-0.052500,0.819549,0.429412,113,112,82
-0.052500,0.834586,0.372549,100,96,74
-0.052500,0.849624,0.562745,159,142,109
-0.052500,0.857143,0.519608,159,127,90
-0.052500,0.864662,0.884313,252,220,182
-0.052500,0.872180,0.888236,253,221,183
-0.052500,0.879699,0.835294,245,206,164
-0.052500,0.887218,0.607843,181,150,110
-0.050000,0.187970,0.721569,165,191,198
-0.050000,0.827068,0.317647,84,84,56
-0.050000,0.842105,0.341176,89,91,62
-0.045000,0.187970,0.745098,171,197,204
-0.045000,0.195489,0.627451,143,166,174
-0.045000,0.804511,0.572549,161,145,111
-0.045000,0.812030,0.513725,142,132,96
-0.045000,0.819549,0.517647,141,134,98
-0.045000,0.827068,0.317647,91,82,47
-0.045000,0.834586,0.462745,131,117,85
-0.045000,0.849624,0.407843,117,103,75
-0.045000,0.857143,0.596078,177,147,113
-0.045000,0.864662,0.870588,249,217,180
-0.045000,0.872180,0.866667,248,216,177
-0.045000,0.879699,0.792157,232,197,148
-0.045000,0.887218,0.419608,131,103,61
-0.045000,0.894737,0.364706,106,92,63
-0.040000,0.195489,0.431373,94,116,124
-0.040000,0.872180,0.650980,186,164,120
-0.040000,0.879699,0.498039,151,124,80
-0.037500,0.180451,0.715687,163,189,197
-0.037500,0.187970,0.696078,159,184,191
-0.037500,0.857143,0.500000,149,123,93
-0.037500,0.864662,0.568627,166,142,105
-0.035000,0.849624,0.392157,115,97,77
-0.030000,0.172932,0.717647,163,190,197
-0.030000,0.180451,0.745098,173,196,204
-0.030000,0.187970,0.505882,115,134,141
-0.030000,0.834586,0.388235,112,96,78
-0.025000,0.172932,0.709804,163,188,196
-0.025000,0.180451,0.701961,163,184,193
-0.025000,0.187970,0.321569,69,87,94
-0.025000,0.834586,0.317647,95,78,61
-0.020000,0.180451,0.486275,110,128,137
-0.017500,0.165414,0.729411,165,194,202
-0.017500,0.172932,0.639216,145,169,178
-0.017500,0.857143,0.439215,127,110,82
-0.015000,0.157895,0.737255,167,196,204
-0.015000,0.834586,0.466667,135,117,88
-0.015000,0.842105,0.501961,145,126,95
-0.015000,0.849624,0.490196,143,122,91
-0.015000,0.864662,0.376471,108,95,70
-0.010000,0.150376,0.717647,161,191,199
-0.010000,0.157895,0.729412,165,194,202
-0.010000,0.165414,0.639216,142,170,178
-0.010000,0.172932,0.337255,71,91,101
-0.010000,0.834586,0.454902,131,115,82
-0.010000,0.842105,0.368627,115,91,57
-0.010000,0.849624,0.384314,121,94,59
-0.010000,0.857143,0.560784,165,139,104
-0.010000,0.864662,0.407843,119,102,76
-0.005000,0.150376,0.725490,164,193,202
-0.005000,0.157895,0.701961,160,186,194
-0.005000,0.165414,0.423529,91,114,120
-0.005000,0.834586,0.403922,110,105,77
-0.005000,0.857143,0.529412,155,132,99
-0.005000,0.864662,0.470588,138,116,90
-0.005000,0.879699,0.400000,116,101,73
0.000000,0.857143,0.376471,107,94,74
0.000000,0.864662,0.403922,113,101,85
0.000000,0.887218,0.380392,109,97,64
0.002500,0.142857,0.737255,166,196,204
0.002500,0.150376,0.719607,164,190,197
0.002500,0.157895,0.462745,104,122,130
0.002500,0.879699,0.539216,150,135,112
0.010000,0.135338,0.749020,168,200,206
0.010000,0.142857,0.709804,161,188,194
0.010000,0.150376,0.482353,108,128,135
0.017500,0.127820,0.725491,163,193,203
0.017500,0.135338,0.703921,161,186,193
0.017500,0.142857,0.472549,105,125,133
0.017500,0.812030,0.368627,98,96,73
0.017500,0.879699,0.335294,95,83,73
0.020000,0.120301,0.729412,159,195,207
0.020000,0.819549,0.560784,168,138,101
0.020000,0.827068,0.521569,161,127,88
0.020000,0.834586,0.505882,151,124,93
0.020000,0.842105,0.509804,150,127,90
0.020000,0.849624,0.478431,147,117,85
0.020000,0.857143,0.494118,155,119,90
0.020000,0.864662,0.513725,158,124,92
0.020000,0.872180,0.494118,152,121,84
0.025000,0.112782,0.749020,164,201,213
0.025000,0.120301,0.737255,163,196,208
0.025000,0.127820,0.686275,155,182,189
0.025000,0.135338,0.392157,88,102,117
0.025000,0.812030,0.443137,129,110,86
0.025000,0.819549,0.584314,178,144,103
0.025000,0.827068,0.552941,174,134,88
0.025000,0.834586,0.545098,172,132,92
0.025000,0.842105,0.580392,174,143,104
0.025000,0.849624,0.529412,164,128,91
0.025000,0.857143,0.564706,175,136,100
0.025000,0.864662,0.600000,184,145,109
0.025000,0.872180,0.556863,169,136,99
0.025000,0.879699,0.368627,114,88,71
0.030000,0.112782,0.698039,154,187,198
0.030000,0.120301,0.733333,166,194,202
0.030000,0.127820,0.470588,106,125,131
0.030000,0.796992,0.309804,92,75,64
0.030000,0.804511,0.349020,101,86,73
0.030000,0.812030,0.505882,150,125,97
0.030000,0.819549,0.560784,173,137,93
0.030000,0.864662,0.470588,152,112,73
0.030000,0.872180,0.466667,146,113,78
0.030000,0.879699,0.443137,133,108,87
0.030000,0.902256,0.400000,112,102,78
0.037500,0.105263,0.711764,158,189,200
0.037500,0.112782,0.715686,161,189,200
0.037500,0.120301,0.470589,105,125,131
0.037500,0.789474,0.496079,142,122,103
0.037500,0.796992,0.568627,172,138,107
0.037500,0.804511,0.668628,198,163,135
0.037500,0.812030,0.641176,191,157,123
0.037500,0.864662,0.494117,153,121,83
0.037500,0.872180,0.425490,129,104,77
0.037500,0.879699,0.425490,127,105,80
0.037500,0.894737,0.429412,120,107,91
0.037500,0.902256,0.637255,179,160,130
0.040000,0.097744,0.737255,166,196,205
0.040000,0.127820,0.309804,73,81,81
0.040000,0.819549,0.454902,142,111,73
0.045000,0.097744,0.717647,160,191,202
0.045000,0.105263,0.737255,172,193,206
0.045000,0.112782,0.509804,123,131,142
0.045000,0.120301,0.309804,82,77,82
0.045000,0.127820,0.396078,108,98,96
0.045000,0.789474,0.400000,115,99,83
0.045000,0.819549,0.427451,136,102,73
0.045000,0.827068,0.392157,131,91,65
0.045000,0.834586,0.388235,124,92,72
0.045000,0.842105,0.396078,129,94,67
0.045000,0.864662,0.427451,131,104,80
0.045000,0.872180,0.388235,117,95,71
0.045000,0.879699,0.329412,99,80,61
0.045000,0.894737,0.345098,102,86,60
0.050000,0.120301,0.337255,88,86,82
0.050000,0.842105,0.396078,114,97,85
0.050000,0.849624,0.403922,117,99,86
0.050000,0.857143,0.392157,113,97,81
0.050000,0.872180,0.380392,111,94,73
0.050000,0.879699,0.403922,116,101,83
0.052500,0.097744,0.705883,158,189,192
0.052500,0.105263,0.562746,131,148,151
0.052500,0.112782,0.352941,90,90,88
0.052500,0.819549,0.503922,150,123,98
0.052500,0.827068,0.649019,186,161,133
0.052500,0.834586,0.558823,159,139,114
0.052500,0.864662,0.360785,102,90,76
0.060000,0.097744,0.717647,172,187,195
0.060000,0.105263,0.439216,116,110,111
0.060000,0.112782,0.427451,128,102,96
0.060000,0.120301,0.427451,133,100,91
0.060000,0.127820,0.462745,139,110,102
0.060000,0.135338,0.419608,117,105,93
0.060000,0.819549,0.305882,90,76,55
0.060000,0.827068,0.725490,199,183,158
0.060000,0.834586,0.870588,237,220,193
0.065000,0.097744,0.694118,153,186,192
0.065000,0.105263,0.549020,133,143,141
0.065000,0.112782,0.478431,133,119,108
0.065000,0.120301,0.478431,138,118,104
0.065000,0.127820,0.458824,127,115,105
0.065000,0.135338,0.470588,132,116,106
0.065000,0.142857,0.450980,130,111,98
0.065000,0.150376,0.431373,127,105,91
0.065000,0.157895,0.447059,133,108,92
0.065000,0.165414,0.482353,143,117,99
0.065000,0.172932,0.494118,147,119,104
0.065000,0.180451,0.470588,139,114,102
0.065000,0.187970,0.439216,128,107,95
0.065000,0.827068,0.423529,123,105,83
0.065000,0.834586,0.666667,190,166,141
0.065000,0.842105,0.325490,91,80,75
0.070000,0.097744,0.717647,158,193,201
0.070000,0.105263,0.709804,161,189,193
0.070000,0.112782,0.670588,157,177,179
0.070000,0.120301,0.678431,160,178,179
0.072500,0.127820,0.686275,156,182,188
0.072500,0.135338,0.674510,158,177,180
0.072500,0.142857,0.629411,149,165,167
0.072500,0.150376,0.633334,153,164,166
0.072500,0.157895,0.633333,157,163,163
0.072500,0.165414,0.643137,162,165,164
0.072500,0.172932,0.654902,169,166,164
0.072500,0.180451,0.541176,142,136,134
0.072500,0.187970,0.515686,132,132,125
0.072500,0.195489,0.407843,105,105,97
0.072500,0.203008,0.356862,96,90,83
0.075000,0.210526,0.333333,89,84,77
0.080000,0.172932,0.721569,163,192,200
0.080000,0.180451,0.729412,165,194,203
0.080000,0.187970,0.741176,168,197,200
0.080000,0.195489,0.647059,149,172,167
0.080000,0.203008,0.372549,88,99,94
0.080000,0.210526,0.313725,80,82,74
0.085000,0.187970,0.701961,162,185,197
0.085000,0.195489,0.745098,178,194,201
0.085000,0.203008,0.568627,141,146,149
0.085000,0.210526,0.309804,80,79,79
0.092500,0.195489,0.705882,159,188,192
0.092500,0.203008,0.705882,163,187,191
0.092500,0.210526,0.531372,124,140,143
0.092500,0.218045,0.321568,81,83,79
0.092500,0.834586,0.401960,112,99,91
0.092500,0.842105,0.611765,184,150,110
0.092500,0.849624,0.607844,184,149,106
0.092500,0.857143,0.570588,172,140,99
0.092500,0.864662,0.413725,123,102,74
0.095000,0.804511,0.435294,110,111,115
0.095000,0.812030,0.419608,106,107,112
0.095000,0.819549,0.443137,113,112,114
0.095000,0.827068,0.439216,117,110,107
0.100000,0.203008,0.717647,163,190,197
0.100000,0.210526,0.694118,159,183,189
0.100000,0.218045,0.454902,109,118,120
0.100000,0.804511,0.866667,234,218,199
0.100000,0.812030,0.917647,244,233,212
0.100000,0.819549,0.917647,244,233,212
0.100000,0.827068,0.894118,245,224,202
0.100000,0.834586,0.760784,211,190,167
0.100000,0.857143,0.615686,190,149,108
0.100000,0.864662,0.384314,121,93,61
0.107500,0.210526,0.717647,165,190,196
0.107500,0.218045,0.631373,149,165,167
0.107500,0.225564,0.372549,89,97,96
0.107500,0.804511,0.835294,225,210,190
0.107500,0.812030,0.723529,195,183,165
0.107500,0.819549,0.619608,167,157,141
0.107500,0.827068,0.609804,162,155,141
0.107500,0.834586,0.590196,157,149,137
0.107500,0.842105,0.615687,179,154,110
0.107500,0.849624,0.629412,184,157,114
0.107500,0.857143,0.596079,176,147,112
0.107500,0.864662,0.413725,125,101,77
0.107500,0.872180,0.360785,103,89,75
0.110000,0.233083,0.305882,76,79,76
0.115000,0.210526,0.717647,163,190,196
0.115000,0.218045,0.713725,165,189,192
0.115000,0.225564,0.427451,100,113,112
0.120000,0.210526,0.709804,161,189,195
0.120000,0.218045,0.709804,163,188,192
0.120000,0.225564,0.384314,87,103,103
0.120000,0.736842,0.333333,89,82,87
0.120000,0.744361,0.305882,84,74,80
0.127500,0.203008,0.725491,165,192,199
0.127500,0.210526,0.717647,165,189,196
0.127500,0.218045,0.498039,117,130,137
0.127500,0.661654,0.437255,111,114,97
0.127500,0.669173,0.603922,130,169,136
0.127500,0.676692,0.613725,122,176,142
0.127500,0.684211,0.623529,128,175,155
0.127500,0.736842,0.533333,152,134,105
0.127500,0.744361,0.500000,149,122,95
0.127500,0.751880,0.594118,169,148,119
0.127500,0.759398,0.580392,163,147,116
0.127500,0.766917,0.588235,166,147,122
0.127500,0.774436,0.594118,167,149,119
0.127500,0.781955,0.611764,172,154,122
0.127500,0.789474,0.539216,153,136,106
0.127500,0.796992,0.368627,110,91,67
0.130000,0.195489,0.721569,164,191,198
0.130000,0.691729,0.827451,202,223,176
0.130000,0.699248,0.878431,236,229,164
0.130000,0.706767,0.866667,231,226,173
0.130000,0.714286,0.882353,235,227,188
0.130000,0.721805,0.890196,235,232,177
0.130000,0.729323,0.890196,235,233,173
0.135000,0.187970,0.705882,161,187,194
0.135000,0.195489,0.701961,160,186,193
0.135000,0.203008,0.745098,171,197,204
0.135000,0.210526,0.607843,138,161,168
0.135000,0.661654,0.662745,181,169,138
0.135000,0.669173,0.815686,191,222,179
0.135000,0.676692,0.796078,165,225,188
0.135000,0.744361,0.556863,167,136,108
0.135000,0.751880,0.811765,237,200,168
0.135000,0.759398,0.803922,237,199,153
0.135000,0.781955,0.741176,219,186,127
0.135000,0.789474,0.662745,198,165,112
0.135000,0.796992,0.603922,184,149,104
0.135000,0.804511,0.505882,153,125,85
0.140000,0.195489,0.600000,140,157,167
0.140000,0.203008,0.521569,119,137,147
0.140000,0.654135,0.309804,89,76,68
0.140000,0.796992,0.819608,231,205,170
0.140000,0.804511,0.592157,176,146,108
0.142500,0.165414,0.721569,163,192,200
0.142500,0.172932,0.678432,157,178,188
0.142500,0.180451,0.580392,137,151,162
0.142500,0.187970,0.496078,116,129,140
0.142500,0.661654,0.574510,162,143,120
0.142500,0.669173,0.798039,225,203,149
0.142500,0.684211,0.705882,212,176,114
0.142500,0.691729,0.749020,232,186,106
0.142500,0.699248,0.766667,244,190,98
0.142500,0.706767,0.752941,238,185,102
0.142500,0.714286,0.768628,242,189,109
0.142500,0.721805,0.796078,245,199,111
0.142500,0.729323,0.735295,232,181,99
0.142500,0.736842,0.756863,224,188,135
0.142500,0.744361,0.582353,171,145,105
0.142500,0.751880,0.768628,221,193,141
0.142500,0.759398,0.803922,233,203,140
0.142500,0.766917,0.782353,222,198,145
0.142500,0.774436,0.790197,224,200,146
0.142500,0.781955,0.674510,195,170,119
0.142500,0.789474,0.584314,171,145,106
0.145000,0.150376,0.721569,163,192,200
0.145000,0.157895,0.721569,163,192,200
0.150000,0.135338,0.717647,154,195,198
0.150000,0.142857,0.741176,166,199,202
0.150000,0.150376,0.733333,172,193,199
0.150000,0.157895,0.537255,126,141,146
0.150000,0.165414,0.368627,84,98,101
0.150000,0.172932,0.321569,73,86,86
0.150000,0.646617,0.462745,136,111,108
0.150000,0.654135,0.505882,135,130,112
0.150000,0.661654,0.737255,196,190,160
0.150000,0.669173,0.827451,249,204,144
0.150000,0.676692,0.678431,246,160,46
0.150000,0.684211,0.709804,250,170,57
0.150000,0.691729,0.694118,247,165,56
0.150000,0.699248,0.717647,253,171,62
0.150000,0.706767,0.713725,252,170,61
0.150000,0.714286,0.690196,247,164,55
0.150000,0.721805,0.631373,216,151,70
0.150000,0.729323,0.345098,125,81,28
0.150000,0.736842,0.658824,196,163,116
0.150000,0.744361,0.666667,191,168,125
0.150000,0.751880,0.603922,172,154,109
0.150000,0.759398,0.639216,184,162,116
0.150000,0.766917,0.643137,195,158,115
0.150000,0.774436,0.745098,219,185,142
0.150000,0.781955,0.462745,145,112,74
0.150000,0.789474,0.360784,116,88,51
0.150000,0.796992,0.313725,102,76,40
0.155000,0.135338,0.709804,159,190,194
0.155000,0.142857,0.647059,148,172,177
0.155000,0.150376,0.466667,109,122,128
0.155000,0.157895,0.313725,74,82,88
0.155000,0.165414,0.309804,72,81,84
0.155000,0.172932,0.305882,73,79,82
0.155000,0.180451,0.309804,76,79,83
0.155000,0.646617,0.623529,172,155,148
0.155000,0.654135,0.878431,234,224,196
0.155000,0.661654,0.862745,234,220,180
0.155000,0.669173,0.862745,250,215,166
0.155000,0.676692,0.745098,243,180,102
0.155000,0.684211,0.745098,250,179,88
0.155000,0.691729,0.756863,253,182,91
0.155000,0.699248,0.745098,253,178,87
0.155000,0.706767,0.741176,251,177,86
0.155000,0.714286,0.756863,253,182,91
0.155000,0.721805,0.619608,204,150,82
0.155000,0.729323,0.301961,107,71,29
0.155000,0.736842,0.517647,155,128,92
0.155000,0.744361,0.627451,180,156,124
0.155000,0.751880,0.678431,194,169,137
0.155000,0.759398,0.654902,190,162,129
0.155000,0.766917,0.584314,174,143,110
0.155000,0.774436,0.678431,198,167,136
0.155000,0.781955,0.584314,172,144,114
0.155000,0.789474,0.654902,189,162,134
0.155000,0.796992,0.576471,168,142,114
0.155000,0.804511,0.474510,139,118,89
0.155000,0.812030,0.368627,108,93,62
0.160000,0.165414,0.313725,78,80,85
0.160000,0.789474,0.737255,211,185,144
0.162500,0.135338,0.701961,165,184,190
0.162500,0.142857,0.394118,92,103,109
0.162500,0.654135,0.670588,181,172,137
0.162500,0.661654,0.817647,231,206,161
0.162500,0.669173,0.721568,209,178,145
0.162500,0.676692,0.658823,191,163,129
0.162500,0.684211,0.570588,168,141,106
0.162500,0.691729,0.662745,192,165,130
0.162500,0.699248,0.660784,192,164,130
0.162500,0.706767,0.605882,177,150,116
0.162500,0.714286,0.715687,206,178,143
0.162500,0.721805,0.615686,181,154,108
0.162500,0.729323,0.703922,203,178,125
0.162500,0.736842,0.647059,186,163,115
0.162500,0.744361,0.554902,164,140,94
0.162500,0.751880,0.760784,220,190,144
0.162500,0.759398,0.725490,213,181,131
0.162500,0.766917,0.747059,214,188,138
0.162500,0.774436,0.760784,217,192,141
0.162500,0.781955,0.709804,205,179,128
0.162500,0.796992,0.692156,201,174,122
0.162500,0.804511,0.631373,188,156,112
0.162500,0.812030,0.568627,169,142,97
0.162500,0.827068,0.662745,193,166,121
0.162500,0.834586,0.635294,189,158,114
0.162500,0.842105,0.601961,179,150,101
0.162500,0.849624,0.658823,193,165,116
0.162500,0.857143,0.694118,202,174,125
0.162500,0.864662,0.670588,196,168,119
0.162500,0.872180,0.578431,173,144,96
0.165000,0.127820,0.721569,162,192,202
0.165000,0.150376,0.337255,84,86,92
0.165000,0.819549,0.741176,214,187,138
0.165000,0.879699,0.698039,211,172,122
0.165000,0.887218,0.486275,151,120,77
0.165000,0.894737,0.384314,113,97,60
0.170000,0.127820,0.721569,162,192,202
0.170000,0.135338,0.639216,151,167,171
0.170000,0.142857,0.321569,75,85,88
0.170000,0.150376,0.321569,79,82,87
0.170000,0.661654,0.647059,180,164,132
0.170000,0.736842,0.694118,206,172,130
0.170000,0.744361,0.686275,203,170,127
0.170000,0.751880,0.776471,228,193,145
0.170000,0.759398,0.776471,230,193,143
0.170000,0.766917,0.749020,218,187,138
0.170000,0.774436,0.768627,225,192,142
0.170000,0.781955,0.764706,226,190,137
0.170000,0.864662,0.768627,230,189,139
0.170000,0.872180,0.768627,230,189,139
0.170000,0.879699,0.694118,222,166,112
0.170000,0.887218,0.756863,228,186,135
0.170000,0.894737,0.431373,129,109,69
0.175000,0.127820,0.717647,161,191,201
0.175000,0.135338,0.674510,158,177,186
0.175000,0.661654,0.592157,160,152,118
0.175000,0.669173,0.827451,237,206,167
0.175000,0.744361,0.654902,200,161,113
0.175000,0.751880,0.686275,210,167,124
0.175000,0.759398,0.678431,210,164,120
0.175000,0.766917,0.674510,207,165,113
0.175000,0.774436,0.670588,205,164,117
0.175000,0.781955,0.674510,206,167,108
0.175000,0.864662,0.745098,229,183,125
0.175000,0.872180,0.533333,154,134,97
0.175000,0.879699,0.333333,115,79,40
0.175000,0.887218,0.435294,153,100,58
0.180000,0.864662,0.650980,205,158,109
0.180000,0.872180,0.525490,156,129,100
0.180000,0.879699,0.345098,118,81,46
0.182500,0.135338,0.676471,159,175,191
0.182500,0.142857,0.454902,110,117,127
0.182500,0.150376,0.366666,95,92,95
0.182500,0.157895,0.347059,90,87,90
0.182500,0.661654,0.605883,168,153,126
0.182500,0.669173,0.762745,219,188,156
0.182500,0.676692,0.654902,184,165,128
0.182500,0.684211,0.582353,168,145,111
0.182500,0.691729,0.709804,202,177,144
0.182500,0.699248,0.700000,199,175,141
0.182500,0.706767,0.668628,191,167,133
0.182500,0.714286,0.774510,219,194,160
0.182500,0.721805,0.694118,197,173,143
0.182500,0.729323,0.609804,178,150,122
0.182500,0.812030,0.725490,219,176,141
0.182500,0.819549,0.658823,190,164,125
0.182500,0.827068,0.743137,206,189,146
0.182500,0.834586,0.668628,200,164,126
0.182500,0.842105,0.760785,227,186,148
0.182500,0.887218,0.556863,192,128,81
0.182500,0.894737,0.531373,178,123,86
0.185000,0.165414,0.364706,93,93,96
0.185000,0.736842,0.756863,214,190,157
0.185000,0.849624,0.756863,218,189,152
0.190000,0.135338,0.705882,154,190,201
0.190000,0.142857,0.705882,157,189,197
0.190000,0.150376,0.666667,152,178,180
0.190000,0.157895,0.694118,163,183,181
0.190000,0.165414,0.549020,128,146,142
0.190000,0.661654,0.619608,164,161,131
0.190000,0.669173,0.760784,200,197,160
0.190000,0.676692,0.360784,76,107,59
0.190000,0.684211,0.349020,60,109,58
0.190000,0.691729,0.352941,62,110,60
0.190000,0.699248,0.345098,59,108,58
0.190000,0.706767,0.329412,56,104,54
0.190000,0.714286,0.356863,63,111,61
0.190000,0.721805,0.325490,56,103,52
0.190000,0.729323,0.380392,81,113,60
0.190000,0.736842,0.670588,179,177,122
0.190000,0.781955,0.894118,253,229,155
0.190000,0.789474,0.815686,250,203,127
0.190000,0.796992,0.745098,244,185,76
0.190000,0.812030,0.752941,230,189,107
0.190000,0.819549,0.427451,106,121,59
0.190000,0.827068,0.321569,51,104,51
0.190000,0.834586,0.325490,58,102,55
0.190000,0.842105,0.796078,225,202,151
0.190000,0.849624,0.749020,217,191,127
0.190000,0.894737,0.603922,221,136,74
0.190000,0.902256,0.509804,169,120,75
0.190000,0.909774,0.752941,217,187,149
0.190000,0.917293,0.474510,139,119,82
0.195000,0.150376,0.694118,153,186,195
0.195000,0.879699,0.576471,216,126,70
0.195000,0.894737,0.541176,202,121,62
0.195000,0.902256,0.427451,144,100,61
0.195000,0.909774,0.556863,161,138,110
0.195000,0.917293,0.313725,94,78,55
0.197500,0.157895,0.717647,163,190,198
0.197500,0.165414,0.662745,151,175,182
0.197500,0.172932,0.521569,121,137,141
0.197500,0.180451,0.403921,98,104,107
0.197500,0.661654,0.674510,189,169,138
0.197500,0.669173,0.752941,206,193,151
0.197500,0.736842,0.703921,193,182,132
0.197500,0.766917,0.821569,234,210,144
0.197500,0.774436,0.849020,234,223,138
0.197500,0.781955,0.811764,232,207,144
0.197500,0.789474,0.821568,245,204,137
0.197500,0.796992,0.737255,240,183,73
0.197500,0.812030,0.782353,236,196,121
0.197500,0.819549,0.543137,139,148,84
0.197500,0.827068,0.480392,104,139,81
0.197500,0.834586,0.464706,110,130,82
0.197500,0.842105,0.778431,217,198,153
0.197500,0.849624,0.694118,204,175,117
0.197500,0.857143,0.625491,180,159,102
0.197500,0.864662,0.594118,170,150,110
0.197500,0.872180,0.537255,180,125,84
0.197500,0.887218,0.468627,174,104,56
0.200000,0.187970,0.333333,83,86,85
0.200000,0.195489,0.337255,88,86,84
0.200000,0.676692,0.600000,155,160,114
0.200000,0.684211,0.596078,150,161,109
0.200000,0.691729,0.603922,152,163,110
0.200000,0.699248,0.600000,151,162,110
0.200000,0.706767,0.607843,153,164,111
0.200000,0.714286,0.611765,155,165,113
0.200000,0.721805,0.623529,157,167,122
0.200000,0.729323,0.607843,159,160,120
0.200000,0.751880,0.772549,225,195,135
0.200000,0.759398,0.800000,228,203,143
0.205000,0.165414,0.717647,162,191,199
0.205000,0.172932,0.694118,156,185,194
0.205000,0.180451,0.733333,172,192,197
0.205000,0.187970,0.482353,119,125,122
0.205000,0.195489,0.368627,98,94,87
0.205000,0.203008,0.368627,100,92,89
0.205000,0.661654,0.600000,171,151,117
0.205000,0.669173,0.894118,250,228,170
0.205000,0.676692,0.921569,255,239,164
0.205000,0.684211,0.905882,254,234,154
0.205000,0.691729,0.901961,255,232,152
0.205000,0.699248,0.905882,255,234,154
0.205000,0.706767,0.901961,255,233,153
0.205000,0.714286,0.901961,255,232,152
0.205000,0.721805,0.894118,250,231,153
0.205000,0.729323,0.886275,252,227,153
0.205000,0.736842,0.803922,245,200,125
0.205000,0.751880,0.631373,223,148,67
0.205000,0.759398,0.600000,211,141,64
0.205000,0.766917,0.415686,121,107,62
0.205000,0.774436,0.415686,93,119,69
0.205000,0.781955,0.360784,83,104,56
0.205000,0.789474,0.619608,174,159,110
0.205000,0.796992,0.627451,192,155,100
0.205000,0.812030,0.682353,199,176,101
0.205000,0.819549,0.800000,225,212,106
0.205000,0.827068,0.662745,188,178,73
0.205000,0.834586,0.333333,101,88,26
0.210000,0.172932,0.721569,160,192,202
0.210000,0.180451,0.725490,164,193,201
0.210000,0.187970,0.596078,140,156,159
0.210000,0.195489,0.360784,90,93,90
0.210000,0.203008,0.364706,97,92,86
0.210000,0.210526,0.372549,103,93,88
0.210000,0.661654,0.501961,140,126,107
0.210000,0.669173,0.862745,237,223,163
0.210000,0.676692,0.886275,250,233,130
0.210000,0.684211,0.882353,253,228,135
0.210000,0.691729,0.886275,255,228,140
0.210000,0.699248,0.890196,255,229,140
0.210000,0.706767,0.886275,255,228,140
0.210000,0.714286,0.882353,255,227,139
0.210000,0.721805,0.886275,251,230,139
0.210000,0.729323,0.894118,253,232,139
0.210000,0.736842,0.835294,254,211,119
0.210000,0.751880,0.705882,251,165,67
0.210000,0.759398,0.701961,245,165,76
0.210000,0.766917,0.439216,122,115,70
0.210000,0.781955,0.333333,60,105,46
0.210000,0.789474,0.674510,178,178,124
0.210000,0.796992,0.729412,215,182,129
0.210000,0.819549,0.819608,229,218,108
0.210000,0.827068,0.572549,163,157,43
0.215000,0.180451,0.690196,152,185,193
0.215000,0.661654,0.305882,83,75,80
0.215000,0.669173,0.674510,184,170,154
0.215000,0.676692,0.866667,238,221,175
0.215000,0.684211,0.847059,231,217,172
0.215000,0.691729,0.839216,228,215,171
0.215000,0.699248,0.835294,227,214,171
0.215000,0.706767,0.831373,226,213,169
0.215000,0.714286,0.831373,226,213,169
0.215000,0.721805,0.823529,224,211,172
0.215000,0.729323,0.811765,224,206,170
0.215000,0.744361,0.776471,225,193,150
0.215000,0.751880,0.788235,227,198,148
0.215000,0.759398,0.780392,218,200,148
0.215000,0.766917,0.760784,192,201,164
0.215000,0.774436,0.752941,192,198,163
0.215000,0.812030,0.788235,218,199,168
0.215000,0.819549,0.768627,210,198,146
0.215000,0.834586,0.725490,198,185,152
0.215000,0.842105,0.552941,151,140,121
0.217500,0.187970,0.729412,166,193,200
0.217500,0.195489,0.666667,156,175,181
0.217500,0.203008,0.588235,144,152,154
0.217500,0.210526,0.390197,100,99,96
0.217500,0.218045,0.352941,97,87,80
0.217500,0.736842,0.558823,156,140,118
0.217500,0.781955,0.652941,182,163,142
0.217500,0.789474,0.684313,194,170,145
0.217500,0.796992,0.664706,175,172,137
0.217500,0.804511,0.596079,163,150,133
0.217500,0.827068,0.580392,158,150,112
0.225000,0.195489,0.741176,166,196,209
0.225000,0.203008,0.717647,166,189,200
0.225000,0.210526,0.678431,162,177,183
0.225000,0.218045,0.407843,104,105,103
0.225000,0.225564,0.301961,77,77,75
0.225000,0.924812,0.454902,131,115,80
0.225000,0.932331,0.454902,131,115,82
0.230000,0.203008,0.721569,164,191,198
0.230000,0.210526,0.717647,164,190,195
0.230000,0.218045,0.572549,132,152,149
